date,Trade_id,name,trade_type,token,time,exchange,tradingsymbol,quantity,strike_price,market_price,trigger_price,num_sl_hits,status,trns_id,gap,expiry_date,unique_order_id,text,producttype
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45781,11:10,NFO,,50,2245000.0,118.1,113.1,0,trigger pending,0300099ANKN1226,5000,2024-04-04,0300099ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45780,11:10,NFO,,50,2240000.0,118.1,113.1,0,trigger pending,0300100ANKN1226,5000,2024-04-04,0300100ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45781,11:15,NFO,,50,2245000.0,58.5,58.5,0,complete,0300101ANKN1226,5000,2024-04-04,0300101ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45780,11:15,NFO,,50,2240000.0,53.95,53.95,0,complete,0300102ANKN1226,5000,2024-04-04,0300102ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45781,11:15,NFO,,50,2245000.0,117.45,112.45,0,trigger pending,0300103ANKN1226,5000,2024-04-04,0300103ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45780,11:15,NFO,,50,2240000.0,117.45,112.45,0,trigger pending,0300104ANKN1226,5000,2024-04-04,0300104ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45791,11:20,NFO,,50,2250000.0,43.35,43.35,0,complete,0300105ANKN1226,5000,2024-04-04,0300105ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45790,11:20,NFO,,50,2245000.0,75.65,75.65,0,complete,0300106ANKN1226,5000,2024-04-04,0300106ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45791,11:20,NFO,,50,2250000.0,124.0,119.0,0,trigger pending,0300107ANKN1226,5000,2024-04-04,0300107ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45790,11:20,NFO,,50,2245000.0,124.0,119.0,0,trigger pending,0300108ANKN1226,5000,2024-04-04,0300108ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45791,11:25,NFO,,50,2250000.0,47.85,47.85,0,complete,0300109ANKN1226,5000,2024-04-04,0300109ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45790,11:25,NFO,,50,2245000.0,67.55,67.55,0,trigger pending,0300110ANKN1226,5000,2024-04-04,0300110ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45791,11:25,NFO,,50,2250000.0,120.4,115.4,0,trigger pending,0300111ANKN1226,5000,2024-04-04,0300111ANKN1226,,INTRADAY
2024-04-03,_put_SL_0,NIFTY,stoploss_buy,45790,11:25,NFO,,50,2245000.0,120.4,115.4,0,trigger pending,0300112ANKN1226,5000,2024-04-04,0300112ANKN1226,,INTRADAY
2024-04-03,_call_0,NIFTY,normal_sell,45791,11:30,NFO,,50,2250000.0,47.0,47.0,0,complete,0300113ANKN1226,5000,2024-04-04,0300113ANKN1226,,INTRADAY
2024-04-03,_put_0,NIFTY,normal_sell,45790,11:30,NFO,,50,2245000.0,67.75,67.75,0,trigger pending,0300114ANKN1226,5000,2024-04-04,0300114ANKN1226,,INTRADAY
2024-04-03,_call_SL_0,NIFTY,stoploss_buy,45791,11:30,NFO,,50,2250000.0,119.75,114.75,0,trigger pending,0300115ANKN1226,5000,2024-04-04,0300115ANKN1226,,INTRADAY
